tag,win,n,ex_succ,next_succ,prev_succ,med_steps,rec_share,rec_share_of_succ,coil,shove,thrash,near,far,fail_coil,fail_thrash,fail_shove,fail_near
tb_v1r2,18,2761.0,98.76856211517565,98.96907216494846,100.0,80.0,4.8170952553422675,4.8771543821048775,0.14487504527345166,0.07243752263672583,0.0,1.231437884824339,0.0,11.76470588235294,0.0,2.941176470588235,85.29411764705883
tb_v1r2,19,2456.0,98.45276872964169,100.0,98.96907216494846,84.0,6.0667752442996745,6.162117452440033,0.12214983713355047,0.04071661237785017,0.0,1.4657980456026058,0.0,7.894736842105263,0.0,2.631578947368421,89.47368421052632
tb_v2,1,2292.0,97.64397905759162,95.91836734693877,92.85714285714286,77.0,8.55148342059337,8.132260947274352,0.13089005235602094,0.2617801047120419,1.6143106457242582,0.34904013961605584,0.0,5.555555555555555,59.25925925925925,3.7037037037037033,5.555555555555555
tb_v2,2,3202.0,99.84384759525297,98.9795918367347,95.91836734693877,73.0,1.6552154903185508,1.6578041914294652,0.0,0.0,0.0,0.21861336664584632,0.0,0.0,0.0,0.0,100.0
tb_v2,3,3321.0,99.96988858777478,98.9795918367347,98.9795918367347,73.0,1.6561276723878349,1.6566265060240966,0.0,0.0,0.0,0.06022282445046673,0.0,0.0,0.0,0.0,100.0
tb_v2,4,3314.0,100.0,100.0,98.9795918367347,72.0,0.9957754978877489,0.9957754978877489,0.0,0.0,0.0,0.12070006035003018,0.0,,,,
tb_v2,5,3411.0,99.97068308413955,100.0,100.0,72.0,0.6742890647903841,0.6744868035190617,0.02931691586045148,0.0,0.0,0.05863383172090296,0.0,100.0,0.0,0.0,0.0
tb_v2,6,3321.0,99.96988858777478,100.0,100.0,72.0,0.8130081300813009,0.8132530120481927,0.0,0.0,0.0,0.030111412225233364,0.0,0.0,0.0,0.0,100.0
tb_v2,7,3410.0,100.0,98.9795918367347,100.0,71.0,0.7331378299120235,0.7331378299120235,0.0,0.0,0.0,0.02932551319648094,0.0,,,,
tb_v2,8,3412.0,100.0,98.9795918367347,98.9795918367347,71.0,0.8206330597889802,0.8206330597889802,0.0,0.0,0.0,0.0,0.0,,,,
v3a,1,760.0,46.71052631578947,50.0,50.0,600.0,5.131578947368421,8.450704225352112,1.0526315789473684,46.44736842105263,8.421052631578947,0.2631578947368421,0.0,1.9753086419753085,12.592592592592592,82.71604938271605,0.49382716049382713
v3a,2,721.0,49.375866851595006,50.0,50.0,600.0,0.4160887656033287,0.5617977528089888,1.1095700416088765,49.237170596393895,0.13869625520110956,0.6934812760055479,0.0,2.191780821917808,0.273972602739726,95.8904109589041,1.36986301369863
v3a,3,730.0,46.3013698630137,48.97959183673469,50.0,600.0,0.0,0.0,0.410958904109589,53.6986301369863,0.273972602739726,0.0,0.0,0.7653061224489796,0.5102040816326531,98.72448979591837,0.0
v3a,4,712.0,45.92696629213483,51.02040816326531,48.97959183673469,600.0,0.42134831460674155,0.9174311926605505,1.4044943820224718,52.6685393258427,0.42134831460674155,0.2808988764044944,0.0,2.3376623376623376,0.7792207792207793,96.36363636363636,0.5194805194805194
v3a,5,820.0,50.24390243902439,52.04081632653062,51.02040816326531,127.5,0.12195121951219512,0.24271844660194172,0.853658536585366,48.90243902439024,0.12195121951219512,0.0,0.0,1.715686274509804,0.24509803921568626,98.0392156862745,0.0
