utc,update_step,explore_step,alpha,entropy_proxy,clamp_fraction,log_pi_std,log_pi_mean,q1_mean,q1_loss,policy_loss,grad_norm_policy,awac_weight_mean,awac_weight_max,awac_weight_saturation,target_q_mean,log_alpha,kl_to_warmstart,alpha_kl
07-12 09:47:22,295000,609707,0.3684898614883423,0.9333312511444092,0.056640625,3.133790969848633,-0.9333312511444092,-4.0907087326049805,0.0158289168030023,1.653858661651611,1.5909094603422187,0.990997314453125,1.5403975248336792,0.0,-4.133829593658447,-0.9983420968055724,,
07-12 09:54:03,300000,620489,0.3720341622829437,1.0649280548095703,0.0478515625,2.8919835090637207,-1.0649280548095703,-3.97266697883606,0.0164031032472848,1.580773115158081,1.5963075579544028,1.0015549659729004,1.6305491924285889,0.0,-3.9433319568634033,-0.9887696504592896,,
07-12 10:00:44,305000,632613,0.3770655691623688,0.6873100399971008,0.0625,3.4579553604125977,-0.6873100399971008,-3.8405704498291016,0.019873023033142,1.96756112575531,2.09758520906668,0.998343586921692,1.60693097114563,0.0,-3.906442880630493,-0.9753361940383912,,
07-12 10:08:39,310000,642591,0.3766580820083618,0.6372392177581787,0.064453125,3.877737283706665,-0.6372392177581787,-3.978793382644653,0.0185835044831037,1.492776870727539,1.5821543105181817,0.9918758869171144,1.3798596858978271,0.0,-3.993669033050537,-0.9764174818992616,,
07-12 10:15:26,315000,656211,0.3776474595069885,1.0214942693710327,0.052734375,2.9565556049346924,-1.0214942693710327,-4.162618637084961,0.0163629446178674,2.297316074371338,2.099843273342608,0.9994410872459412,1.273613214492798,0.0,-4.18766450881958,-0.973794162273407,,
07-12 10:22:00,320000,662299,0.409250259399414,0.657572329044342,0.0625,3.7520501613616943,-0.657572329044342,-4.372772216796875,0.0155584029853343,1.7304866313934326,1.908946164413332,0.9967390298843384,1.3004989624023438,0.0,-4.364675045013428,-0.8934284448623657,,
07-12 10:28:38,325000,672918,0.4236798882484436,0.7102645039558411,0.0673828125,3.392359972000122,-0.7102645039558411,-4.428905487060547,0.0170134250074625,2.2513315677642822,2.084810016555915,1.0039560794830322,1.3636096715927124,0.0,-4.3907012939453125,-0.8587771058082581,,
07-12 10:34:16,330000,683758,0.4226436018943786,0.8188616633415222,0.0537109375,3.5202620029449463,-0.8188616633415222,-4.197431564331055,0.0069610634818673,0.8856790065765381,0.8599801679794693,0.9956319332122804,1.3732669353485107,0.0,-4.208697319030762,-0.8612260222434998,,
07-12 10:41:33,335000,691866,0.4136176407337188,0.8741207122802734,0.0576171875,3.421087741851806,-0.8741207122802734,-4.372810363769531,0.0188813898712396,1.6398135423660278,1.5852811959233988,1.0009570121765137,1.888672471046448,0.0,-4.362987518310547,-0.8828132748603821,,
07-12 10:48:22,340000,703327,0.427367240190506,1.214106798171997,0.044921875,2.83685564994812,-1.214106798171997,-4.634695529937744,0.0080618327483534,0.972886562347412,1.1165979030189337,1.0084574222564695,1.5322760343551636,0.0,-4.626751899719238,-0.8501115441322327,,
07-12 10:55:04,345000,714459,0.4299987852573395,0.9808460474014282,0.048828125,3.3845224380493164,-0.9808460474014282,-4.19793176651001,0.0144359096884727,1.453768610954285,1.4419046815271193,1.005039930343628,1.825426459312439,0.0,-4.231042385101318,-0.84397292137146,,
07-12 10:59:48,350000,724070,0.433714896440506,0.8886122703552246,0.0703125,3.569040298461914,-0.8886122703552246,-4.646040439605713,0.0159789826720953,1.7042443752288818,2.280349938603625,0.9956142902374268,1.3542020320892334,0.0,-4.65891170501709,-0.8353678584098816,,
07-12 11:05:30,355000,726061,0.4242168366909027,1.255337476730347,0.041015625,2.8430538177490234,-1.255337476730347,-4.506622314453125,0.0147668877616524,1.4356424808502195,1.8986039170059368,0.9975614547729492,1.4153510332107544,0.0,-4.511382102966309,-0.8575105667114258,,
07-12 11:12:24,360000,738965,0.4450542330741882,1.0655691623687744,0.056640625,3.3344407081604004,-1.0655691623687744,-4.445775985717773,0.0170792452991008,1.2770401239395142,1.5575694201443042,1.0078556537628174,1.540810227394104,0.0,-4.415558815002441,-0.809559166431427,,
07-12 11:19:13,365000,750946,0.461568683385849,1.1554687023162842,0.0439453125,2.806344747543335,-1.1554687023162842,-4.361545562744141,0.0213365573436021,1.7578096389770508,1.6864764950159117,1.0046486854553225,1.747606873512268,0.0,-4.425511360168457,-0.7731243968009949,,
07-12 11:25:59,370000,764239,0.4491670429706573,0.8659948110580444,0.0537109375,3.3409407138824463,-0.8659948110580444,-4.610470771789551,0.0166658051311969,2.182062149047852,2.1777310267672654,1.012220859527588,1.6985737085342407,0.0,-4.6009440422058105,-0.8003604412078857,,
