seq	wall	pid	ep	final_branch	reason	is_clean	gsucc	ret	steps
1333	1783848522.868584	2193	13	RCCA	success	0	1	2.1273	199
1334	1783848546.598891	1218	56	RCCA	success	0	1	2.4459	258
1335	1783848570.371506	1427	43	RCCA	max_steps	1	0	-3.6023	600
1336	1783848599.959037	1218	57	RCCA	success	1	1	4.8647	109
1337	1783848614.206245	1427	44	RCCA	success	1	1	4.5968	107
1338	1783848629.083293	2319	17	RCCA	success	1	1	4.5636	331
1339	1783848648.481311	616	71	RCCA	max_steps	1	0	-0.9383	600
1340	1783848859.433900	1427	45	RCCA	success	0	1	3.6864	170
1341	1783848859.433900	1218	58	RCCA	max_steps	1	0	-3.3085	600
1342	1783848859.433900	1751	32	RCCA	max_steps	1	0	-1.3092	600
1343	1783848859.433900	2001	21	RCCA	max_steps	1	0	-0.7990	600
1344	1783848859.433900	236	75	other	max_steps	0	0	-7.9432	600
1345	1783848859.433900	2361	17	RCCA	max_steps	1	0	-2.7331	600
1346	1783848859.433900	2534	4	RCCA	max_steps	1	0	-0.9910	600
1347	1783848859.433900	2066	11	RCCA	max_steps	0	0	-3.3305	600
1348	1783848859.433900	2235	12	RCCA	max_steps	1	0	-3.0249	600
1349	1783848859.433900	1793	30	RCCA	max_steps	0	0	-3.0085	600
1350	1783848859.433900	2277	10	bridge	max_steps	0	0	-4.3084	600
1351	1783848932.935776	2534	5	RCCA	success	1	1	4.6684	76
1352	1783848955.759644	2714	1	RCCA	success	1	1	4.6624	55
1353	1783848975.725177	2588	1	RCCA	success	1	1	4.4772	97
1354	1783848982.679674	1218	59	RCCA	success	1	1	5.3041	140
1355	1783848999.726058	2001	22	RCCA	success	1	1	4.7141	217
1356	1783849056.727998	2588	2	RCCA	success	1	1	4.6602	168
1357	1783849067.852400	236	76	RCCA	success	1	1	5.2547	305
1358	1783849164.857107	2672	1	bridge	max_steps	0	0	-3.9755	600
1359	1783849167.941804	2235	13	bridge	max_steps	0	0	-9.9167	600
1360	1783849175.974374	1751	33	bridge	max_steps	0	0	-3.2511	600
1361	1783849176.336379	2756	1	RCCA	max_steps	1	0	-3.2204	600
1362	1783849188.314872	2066	12	RCCA	max_steps	1	0	-2.4651	600
1363	1783849207.161322	2361	18	RCCA	max_steps	1	0	-1.9264	600
1364	1783849220.100108	2277	11	RCCA	max_steps	1	0	-9.5732	600
1365	1783849226.416216	1793	31	bridge	max_steps	0	0	-5.8923	600
1366	1783849228.028996	2630	1	RCCA	max_steps	1	0	-2.8839	600
1367	1783849250.784300	2534	6	RCCA	max_steps	1	0	-1.1819	600
1368	1783849271.893502	2235	14	RCCA	success	0	1	4.0227	209
1369	1783849336.999130	2588	3	RCCA	max_steps	1	0	-1.5835	600
1370	1783849386.593251	236	77	RCCA	max_steps	1	0	-2.2203	600
1371	1783849389.170668	2001	23	RCCA	max_steps	0	0	-1.8537	600
1372	1783849399.964797	1218	60	bridge	max_steps	0	0	-2.5525	600
1373	1783849408.173520	1427	46	RCCA	max_steps	1	0	-0.9186	600
1374	1783849414.850244	2714	2	RCCA	max_steps	1	0	-1.3634	600
1375	1783849446.218150	2672	2	RVA	max_steps	0	0	-3.6105	600
1376	1783849461.161448	1751	34	RCCA	max_steps	1	0	-3.8414	600
1377	1783849479.768291	2630	2	RCCA	max_steps	1	0	-3.9390	600
1378	1783849505.164629	2066	13	bridge	max_steps	0	0	-11.1504	600
1379	1783849507.725339	1793	32	RCCA	max_steps	1	0	-2.7153	600
1380	1783849527.902974	2630	3	RCCA	success	1	1	4.8381	91
1381	1783849535.619553	2277	12	RCCA	max_steps	1	0	-1.0998	600
1382	1783849549.634950	1793	33	RCCA	success	1	1	4.6896	84
1383	1783849582.111737	2534	7	bridge	max_steps	0	0	-11.1233	600
1384	1783849595.545166	2235	15	RVA	max_steps	0	0	-14.7915	600
1385	1783849602.972809	2756	2	RCCA	max_steps	1	0	-1.4279	600
1386	1783849613.575383	2361	19	RCCA	max_steps	1	0	-0.8446	600
1387	1783849614.369914	1793	34	RCCA	success	1	1	4.5405	146
1388	1783849630.091257	2277	13	RCCA	success	1	1	5.1449	183
1389	1783849643.535880	2588	4	RVA	max_steps	0	0	-9.1079	600
1390	1783849659.693631	2672	3	RCCA	success	1	1	5.8274	354
1391	1783849694.139655	2714	3	RVA	max_steps	0	0	-9.3224	600
1392	1783849711.505467	1218	61	RVA	max_steps	0	0	-3.4916	600
1393	1783849715.454037	1427	47	RCCA	max_steps	1	0	-2.0085	600
1394	1783849744.877892	236	78	RCCA	max_steps	1	0	-1.2828	600
1395	1783849789.512403	2361	20	RCCA	success	1	1	3.9234	347
1396	1783849797.529530	1751	35	RVA	max_steps	0	0	-3.0757	600
1397	1783849804.315308	2672	4	RCCA	success	1	1	5.5249	267
1398	1783849804.649719	236	79	RCCA	success	1	1	4.3597	118
1399	1783849858.531814	2066	14	RCCA	max_steps	1	0	-1.0127	600
1400	1783849904.863799	2534	8	RCCA	max_steps	0	0	-7.2656	600
