seed,name,n,p,p_rec,dom,mesh
900015,tbv3_ref_host,1,1.0,0.0,6:near-buckle-fight,s1188724579g0
900016,abl_best_host,1,1.0,1.0,3:light-recovery-success,s1655387862g0
900016,car_best_host,3,1.0,0.6666666666666666,3:light-recovery-success,s1655387862g0
900016,tbv2_best_host,3,0.0,0.0,6:near-buckle-fight,s1655387862g0
900016,tbv3_ref_host,1,1.0,1.0,3:light-recovery-success,s1655387862g0
900017,abl_best_host,1,1.0,0.0,1:clean-fast-success,s2063245862g0
900017,car_best_host,3,1.0,0.0,5:shove-fight,s2063245862g0
900017,tbv2_best_host,3,0.3333333333333333,0.0,5:shove-fight,s2063245862g0
900017,tbv3_ref_host,1,1.0,0.0,1:clean-fast-success,s2063245862g0
900018,abl_best_host,1,1.0,0.0,1:clean-fast-success,s857688274g0
900018,car_best_host,3,1.0,0.0,5:shove-fight,s857688274g0
900018,tbv2_best_host,3,0.3333333333333333,0.0,6:near-buckle-fight,s857688274g0
900018,tbv3_ref_host,1,0.0,0.0,6:near-buckle-fight,s857688274g0
900019,abl_best_host,1,0.0,0.0,6:near-buckle-fight,s1894111997g0
900019,car_best_host,3,1.0,0.6666666666666666,3:light-recovery-success,s1894111997g0
900019,tbv2_best_host,3,1.0,0.3333333333333333,1:clean-fast-success,s1894111997g0
900019,tbv3_ref_host,1,1.0,1.0,4:deep-recovery-success,s1894111997g0
900020,abl_best_host,1,1.0,0.0,1:clean-fast-success,s8844972g0
900020,car_best_host,3,1.0,0.3333333333333333,5:shove-fight,s8844972g0
900020,tbv2_best_host,3,0.3333333333333333,0.0,6:near-buckle-fight,s8844972g0
900020,tbv3_ref_host,1,1.0,0.0,1:clean-fast-success,s8844972g0
900021,abl_best_host,1,1.0,0.0,1:clean-fast-success,s1905292856g0
900021,car_best_host,3,1.0,0.6666666666666666,3:light-recovery-success,s1905292856g0
900021,tbv2_best_host,3,0.3333333333333333,0.3333333333333333,8:mega-coil,s1905292856g0
900021,tbv3_ref_host,1,1.0,1.0,3:light-recovery-success,s1905292856g0
900022,abl_best_host,1,1.0,0.0,1:clean-fast-success,s994316221g0
900022,car_best_host,3,1.0,0.0,5:shove-fight,s994316221g0
900022,tbv2_best_host,3,0.6666666666666666,0.3333333333333333,6:near-buckle-fight,s994316221g0
900022,tbv3_ref_host,1,1.0,0.0,7:midpath-thrash,s994316221g0
900023,abl_best_host,1,1.0,0.0,1:clean-fast-success,s1807589001g0
900023,car_best_host,3,1.0,0.6666666666666666,3:light-recovery-success,s1807589001g0
900023,tbv2_best_host,3,0.3333333333333333,0.0,8:mega-coil,s1807589001g0
900023,tbv3_ref_host,1,1.0,1.0,3:light-recovery-success,s1807589001g0
900024,abl_best_host,1,1.0,0.0,1:clean-fast-success,s1347551054g0
900024,car_best_host,3,1.0,1.0,3:light-recovery-success,s1347551054g0
900024,tbv2_best_host,3,0.6666666666666666,0.3333333333333333,6:near-buckle-fight,s1347551054g0
900024,tbv3_ref_host,1,1.0,0.0,0:clean-success,s1347551054g0
900025,abl_best_host,1,1.0,0.0,1:clean-fast-success,s823409318g0
900025,car_best_host,3,1.0,0.0,5:shove-fight,s823409318g0
900025,tbv2_best_host,3,1.0,0.0,1:clean-fast-success,s823409318g0
900025,tbv3_ref_host,1,1.0,0.0,1:clean-fast-success,s823409318g0
900026,car_best_host,1,1.0,0.0,2:cathled-sprint-success,s120813388g0
